名称,作者,出版社,出版日期,售价
倾城之恋 : 张爱玲全集01——小说,张爱玲 , 北京十月文艺出版社 , 2012-6-1 , 29.80元
神雕侠侣,金庸 , 生活·读书·新知三联书店 , 1994-5 , 76.80元
天龙八部,金庸 , 生活·读书·新知三联书店 , 1994-5 , 96.00元
夏天、烟火和我的尸体,[日] 乙一 , 南海出版公司 , 2019-9 , 45.00
南方高速 : 科塔萨尔短篇小说全集2,[阿根廷] 胡里奥·科塔萨尔 , 南海出版公司 , 2017-10 , 68.00
西游记（全二册）,吴承恩 , 人民文学出版社 , 2004-8 , 47.20元
两度,[法]弗兰克·蒂利耶 , 北京联合出版公司 , 2023-3 , 68.00元
罪与罚,[俄] 陀思妥耶夫斯基 , 译林出版社 , 2021-5 , 68.00元
客乡,[德]燕妮·埃彭贝克 , 北京日报出版社 , 2023-1 , RMB 59.00
黑书,[土] 奥尔罕·帕慕克 , 李佳姗 , 上海人民出版社 , 2024-1
希望庄,[日] 宫部美雪 , 南海出版公司 , 2023-11 , 68.00元
长夜难明 : 紫金陈“推理之王”第3部,紫金陈 , 云南人民出版社 , 2017-1 , 42.00元
岛上书店,[美] 加布瑞埃拉·泽文 , 江苏凤凰文艺出版社 , 2015-5-1 , CNY 35.00
牙医谋杀案 : 阿加莎·克里斯蒂作品52,[英] 阿加莎·克里斯蒂 , 新星出版社 , 2017-3 , 32.00元
82年生的金智英,[韩]赵南柱 , 贵州人民出版社 , 2019-8 , 45.00元
